name,code,facultyCode
Agricultural Marketing,FAGR2203,FAGR
Food Chemistry and Analysis,FAGR2204,FAGR
Research Methods in Agriculture,FAGR3101,FAGR
Farm Management and Planning,FAGR3102,FAGR
Agribusiness Management,FAGR3103,FAGR
Food Processing Technology,FAGR3201,FAGR
Environmental and Natural Resource Management,FAGR3202,FAGR
Agricultural Project Management,FAGR3203,FAGR
Strategic Management,FBAM4101,FBAM
Entrepreneurship and Innovation,FBAM4102,FBAM
International Trade and Finance,FBAM4103,FBAM
Business Research Project,FBAM4104,FBAM
Leadership and Organizational Behaviour,FBAM4105,FBAM
Corporate Strategy,FBAM4201,FBAM
Risk Management and Insurance,FBAM4202,FBAM
Business Law and Taxation,FBAM4203,FBAM
Curriculum Development and Evaluation,FED4101,FED
Educational Research Project,FED4102,FED
Education Law and Administration,FED4103,FED
Comparative Education,FED4201,FED
Guidance and Counselling in Education,FED4202,FED
Health Research Project,FHS4101,FHS
Advanced Clinical Practice,FHS4102,FHS
Health Policy and Management,FHS4103,FHS
Community Health Practicum,FHS4201,FHS
Clinical Laboratory Management,FHS4202,FHS
Research Dissertation,FASS4101,FASS
Development Economics,FASS4102,FASS
Governance and Leadership,FASS4103,FASS
Communication for Development,FASS4201,FASS
Social Entrepreneurship,FASS4202,FASS
Advanced Database Systems,FSC4101,FSC
Machine Learning,FSC4102,FSC
Research Project in Computing,FSC4103,FSC
Distributed Systems,FSC4201,FSC
Data Science and Analytics,FSC4202,FSC
Cybersecurity,FSC4203,FSC
Agricultural Research Project,FAGR4101,FAGR
Agricultural Marketing and Trade,FAGR4102,FAGR
Rural Development,FAGR4103,FAGR
Agricultural Value Chain Management,FAGR4201,FAGR
Land and Water Resource Management,FAGR4202,FAGR
Agricultural Policy Analysis,FAGR4203,FAGR
