courseUnitCode,programmeCode,year,semester
FED2103,BED-ARTS,2,1
FED2104,BED-ARTS,2,1
FED2201,BED-ARTS,2,2
FED2202,BED-ARTS,2,2
FED2203,BED-ARTS,2,2
FED3101,BED-ARTS,3,1
FED3102,BED-ARTS,3,1
FED3103,BED-ARTS,3,1
FED3201,BED-ARTS,3,2
FED1101,BED-SCI,1,1
FED1102,BED-SCI,1,1
FED1103,BED-SCI,1,1
FED1104,BED-SCI,1,1
FED1105,BED-SCI,1,1
FED1201,BED-SCI,1,2
FED1202,BED-SCI,1,2
FED1203,BED-SCI,1,2
FED1204,BED-SCI,1,2
FED2101,BED-SCI,2,1
FED2102,BED-SCI,2,1
FED2103,BED-SCI,2,1
FED2104,BED-SCI,2,1
FED2201,BED-SCI,2,2
FED2202,BED-SCI,2,2
FED2203,BED-SCI,2,2
FED3101,BED-SCI,3,1
FED3102,BED-SCI,3,1
FED3103,BED-SCI,3,1
FED3201,BED-SCI,3,2
FED1101,BECPE,1,1
FED1102,BECPE,1,1
FED1103,BECPE,1,1
FED1104,BECPE,1,1
FED1105,BECPE,1,1
FED1201,BECPE,1,2
FED1202,BECPE,1,2
FED1203,BECPE,1,2
FED1204,BECPE,1,2
FED2101,BECPE,2,1
FED2102,BECPE,2,1
FED2103,BECPE,2,1
FED2104,BECPE,2,1
FED2201,BECPE,2,2
FED2202,BECPE,2,2
FED2203,BECPE,2,2
FED3101,BECPE,3,1
FED3102,BECPE,3,1
FED3103,BECPE,3,1
FED3201,BECPE,3,2
FED1101,PGDE,1,1
FED1102,PGDE,1,1
FED1201,PGDE,1,2
FED1202,PGDE,1,2
FED2101,PGDE,2,1
FED2103,PGDE,2,1
FED2201,PGDE,2,2
FED3101,PGDE,3,1
FED3103,PGDE,3,1
FHS1101,BNS,1,1
FHS1102,BNS,1,1
FHS1103,BNS,1,1
FHS1104,BNS,1,1
FHS1105,BNS,1,1
FHS1201,BNS,1,2
FHS1202,BNS,1,2
FHS1203,BNS,1,2
FHS1204,BNS,1,2
FHS2101,BNS,2,1
FHS2102,BNS,2,1
FHS2103,BNS,2,1
FHS2201,BNS,2,2
FHS2202,BNS,2,2
FHS2204,BNS,2,2
FHS3101,BNS,3,1
FHS3102,BNS,3,1
FHS3201,BNS,3,2
FHS1101,BPHARM,1,1
FHS1102,BPHARM,1,1
FHS1103,BPHARM,1,1
FHS1104,BPHARM,1,1
FHS1105,BPHARM,1,1
FHS1201,BPHARM,1,2
FHS1202,BPHARM,1,2
FHS1203,BPHARM,1,2
FHS1204,BPHARM,1,2
FHS2101,BPHARM,2,1
FHS2103,BPHARM,2,1
FHS2104,BPHARM,2,1
FHS2201,BPHARM,2,2
FHS2203,BPHARM,2,2
FHS3101,BPHARM,3,1
FHS3202,BPHARM,3,1
FHS3201,BPHARM,3,2
FHS1101,BPH,1,1
FHS1102,BPH,1,1
FHS1103,BPH,1,1
FHS1104,BPH,1,1
FHS1105,BPH,1,1
FHS1201,BPH,1,2
FHS1202,BPH,1,2
FHS1203,BPH,1,2
FHS2101,BPH,2,1
FHS2103,BPH,2,1
FHS2201,BPH,2,2
FHS2204,BPH,2,2
FHS3101,BPH,3,1
FHS3103,BPH,3,1
FHS3201,BPH,3,2
FHS1101,BBLT,1,1
FHS1102,BBLT,1,1
FHS1103,BBLT,1,1
FHS1104,BBLT,1,1
FHS1105,BBLT,1,1
FHS1201,BBLT,1,2
FHS1202,BBLT,1,2
FHS1203,BBLT,1,2
FHS2101,BBLT,2,1
FHS2103,BBLT,2,1
FHS2104,BBLT,2,1
FHS2201,BBLT,2,2
FHS2203,BBLT,2,2
FHS3101,BBLT,3,1
FHS3102,BBLT,3,1
FHS3201,BBLT,3,2
FASS1101,SWSA,1,1
FASS1102,SWSA,1,1
FASS1103,SWSA,1,1
FASS1104,SWSA,1,1
FASS1105,SWSA,1,1
FASS1201,SWSA,1,2
FASS1202,SWSA,1,2
FASS1203,SWSA,1,2
FASS2101,SWSA,2,1
FASS2102,SWSA,2,1
FASS2103,SWSA,2,1
FASS2201,SWSA,2,2
FASS2202,SWSA,2,2
FASS2203,SWSA,2,2
FASS3101,SWSA,3,1
FASS3102,SWSA,3,1
FASS3103,SWSA,3,1
FASS3201,SWSA,3,2
FASS1101,BADS,1,1
FASS1102,BADS,1,1
FASS1103,BADS,1,1
FASS1104,BADS,1,1
FASS1105,BADS,1,1
FASS1201,BADS,1,2
FASS1202,BADS,1,2
FASS1203,BADS,1,2
FASS2101,BADS,2,1
FASS2102,BADS,2,1
FASS2103,BADS,2,1
FASS2201,BADS,2,2
FASS2202,BADS,2,2
FASS3101,BADS,3,1
FASS3102,BADS,3,1
FASS3103,BADS,3,1
FASS3201,BADS,3,2
FASS3202,BADS,3,2
FASS1101,BAEDS,1,1
FASS1102,BAEDS,1,1
FASS1103,BAEDS,1,1
FASS1104,BAEDS,1,1
FASS1201,BAEDS,1,2
FASS1202,BAEDS,1,2
FASS1203,BAEDS,1,2
FASS2101,BAEDS,2,1
FASS2102,BAEDS,2,1
FASS2202,BAEDS,2,2
FASS2203,BAEDS,2,2
FASS3101,BAEDS,3,1
FASS3102,BAEDS,3,1
FASS3201,BAEDS,3,2
FASS1101,BAJC,1,1
FASS1102,BAJC,1,1
FASS1103,BAJC,1,1
FASS1104,BAJC,1,1
FASS1204,BAJC,1,1
FASS1201,BAJC,1,2
FASS1202,BAJC,1,2
FASS2101,BAJC,2,1
FASS2104,BAJC,2,1
FASS2201,BAJC,2,2
FASS2204,BAJC,2,2
FASS3101,BAJC,3,1
FASS3202,BAJC,3,1
FASS3201,BAJC,3,2
FASS1101,BA,1,1
FASS1102,BA,1,1
FASS1103,BA,1,1
FASS1104,BA,1,1
FASS1105,BA,1,1
FASS1201,BA,1,2
FASS1202,BA,1,2
FASS1203,BA,1,2
FASS2101,BA,2,1
FASS2102,BA,2,1
FASS2103,BA,2,1
FASS2201,BA,2,2
FASS2202,BA,2,2
FASS3101,BA,3,1
FASS3102,BA,3,1
FASS3201,BA,3,2
FASS3202,BA,3,2
FSC1101,BSC-CS,1,1
FSC1102,BSC-CS,1,1
FSC1103,BSC-CS,1,1
FSC1104,BSC-CS,1,1
FSC1105,BSC-CS,1,1
FSC1201,BSC-CS,1,2
FSC1202,BSC-CS,1,2
FSC1203,BSC-CS,1,2
FSC2101,BSC-CS,2,1
FSC2102,BSC-CS,2,1
FSC2103,BSC-CS,2,1
FSC2104,BSC-CS,2,1
FSC2201,BSC-CS,2,2
FSC2202,BSC-CS,2,2
FSC2203,BSC-CS,2,2
FSC3101,BSC-CS,3,1
FSC3102,BSC-CS,3,1
FSC3103,BSC-CS,3,1
FSC3201,BSC-CS,3,2
FSC3203,BSC-CS,3,2
FSC1101,BSC-IT,1,1
FSC1102,BSC-IT,1,1
FSC1103,BSC-IT,1,1
FSC1104,BSC-IT,1,1
FSC1105,BSC-IT,1,1
FSC1201,BSC-IT,1,2
FSC1202,BSC-IT,1,2
FSC2101,BSC-IT,2,1
FSC2102,BSC-IT,2,1
FSC2103,BSC-IT,2,1
FSC2104,BSC-IT,2,1
FSC2201,BSC-IT,2,2
FSC2202,BSC-IT,2,2
FSC2203,BSC-IT,2,2
FSC3101,BSC-IT,3,1
FSC3103,BSC-IT,3,1
FSC3201,BSC-IT,3,2
FSC3203,BSC-IT,3,2
FSC1101,BSC-MATH,1,1
FSC1103,BSC-MATH,1,1
FSC1104,BSC-MATH,1,1
FSC1105,BSC-MATH,1,1
FSC1201,BSC-MATH,1,2
FSC1203,BSC-MATH,1,2
FSC2101,BSC-MATH,2,1
FSC2201,BSC-MATH,2,2
FSC3101,BSC-MATH,3,1
FSC3202,BSC-MATH,3,1
FSC3203,BSC-MATH,3,2
FSC1101,BSC-BIOCHEM,1,1
FSC1104,BSC-BIOCHEM,1,1
FSC1105,BSC-BIOCHEM,1,1
FSC1201,BSC-BIOCHEM,1,2
FSC1204,BSC-BIOCHEM,1,2
FSC2101,BSC-BIOCHEM,2,1
FSC2204,BSC-BIOCHEM,2,1
FSC3101,BSC-BIOCHEM,3,1
FSC3203,BSC-BIOCHEM,3,2
FAGR1101,BSC-AGR,1,1
FAGR1102,BSC-AGR,1,1
FAGR1103,BSC-AGR,1,1
FAGR1104,BSC-AGR,1,1
FAGR1105,BSC-AGR,1,1
FAGR1201,BSC-AGR,1,2
FAGR1202,BSC-AGR,1,2
FAGR1203,BSC-AGR,1,2
FAGR1204,BSC-AGR,1,2
FAGR2101,BSC-AGR,2,1
FAGR2102,BSC-AGR,2,1
FAGR2103,BSC-AGR,2,1
FAGR2201,BSC-AGR,2,2
FAGR2202,BSC-AGR,2,2
FAGR2203,BSC-AGR,2,2
FAGR3101,BSC-AGR,3,1
FAGR3102,BSC-AGR,3,1
FAGR3103,BSC-AGR,3,1
FAGR3201,BSC-AGR,3,2
FAGR3202,BSC-AGR,3,2
FAGR3203,BSC-AGR,3,2
FAGR1101,BABM,1,1
FAGR1102,BABM,1,1
FAGR1103,BABM,1,1
FAGR1104,BABM,1,1
FAGR1105,BABM,1,1
FAGR1201,BABM,1,2
FAGR1202,BABM,1,2
FAGR1204,BABM,1,2
FAGR2101,BABM,2,1
FAGR2103,BABM,2,1
FAGR2201,BABM,2,2
FAGR2203,BABM,2,2
FAGR3101,BABM,3,1
FAGR3102,BABM,3,1
FAGR3103,BABM,3,1
FAGR3201,BABM,3,2
FAGR3202,BABM,3,2
FAGR3203,BABM,3,2
FAGR1101,BSC-FST,1,1
FAGR1102,BSC-FST,1,1
FAGR1103,BSC-FST,1,1
FAGR1104,BSC-FST,1,1
FAGR1105,BSC-FST,1,1
FAGR1201,BSC-FST,1,2
FAGR1202,BSC-FST,1,2
FAGR1203,BSC-FST,1,2
FAGR2101,BSC-FST,2,1
FAGR2104,BSC-FST,2,1
FAGR2202,BSC-FST,2,2
FAGR2204,BSC-FST,2,2
FAGR3101,BSC-FST,3,1
FAGR3201,BSC-FST,3,2
FAGR3202,BSC-FST,3,2
FBAM4101,BBA,4,1
FBAM4102,BBA,4,1
FBAM4103,BBA,4,1
FBAM4104,BBA,4,1
FBAM4105,BBA,4,1
FBAM4201,BBA,4,2
FBAM4202,BBA,4,2
FBAM4203,BBA,4,2
FBAM4101,BCOM,4,1
FBAM4102,BCOM,4,1
FBAM4103,BCOM,4,1
FBAM4104,BCOM,4,1
FBAM4105,BCOM,4,1
FBAM4201,BCOM,4,2
FBAM4202,BCOM,4,2
FBAM4203,BCOM,4,2
FBAM4101,BAF,4,1
FBAM4102,BAF,4,1
FBAM4103,BAF,4,1
FBAM4104,BAF,4,1
FBAM4105,BAF,4,1
FBAM4201,BAF,4,2
FBAM4202,BAF,4,2
FBAM4203,BAF,4,2
FBAM4101,BHRM,4,1
FBAM4102,BHRM,4,1
FBAM4103,BHRM,4,1
FBAM4104,BHRM,4,1
FBAM4105,BHRM,4,1
FBAM4201,BHRM,4,2
FBAM4202,BHRM,4,2
FBAM4203,BHRM,4,2
FBAM4101,BPLM,4,1
FBAM4102,BPLM,4,1
FBAM4103,BPLM,4,1
FBAM4104,BPLM,4,1
FBAM4105,BPLM,4,1
FBAM4201,BPLM,4,2
FBAM4202,BPLM,4,2
FBAM4203,BPLM,4,2
FED4101,BED-ARTS,4,1
FED4102,BED-ARTS,4,1
FED4103,BED-ARTS,4,1
FED4201,BED-ARTS,4,2
FED4202,BED-ARTS,4,2
FED4101,BED-SCI,4,1
FED4102,BED-SCI,4,1
FED4103,BED-SCI,4,1
FED4201,BED-SCI,4,2
FED4202,BED-SCI,4,2
FED4101,BECPE,4,1
FED4102,BECPE,4,1
FED4103,BECPE,4,1
FED4201,BECPE,4,2
FED4202,BECPE,4,2
FED4101,PGDE,4,1
FED4102,PGDE,4,1
FED4103,PGDE,4,1
FED4201,PGDE,4,2
FED4202,PGDE,4,2
FHS4101,BNS,4,1
FHS4102,BNS,4,1
FHS4103,BNS,4,1
FHS4201,BNS,4,2
FHS4202,BNS,4,2
FHS4101,BPHARM,4,1
FHS4102,BPHARM,4,1
FHS4103,BPHARM,4,1
FHS4201,BPHARM,4,2
FHS4202,BPHARM,4,2
FHS4101,BPH,4,1
FHS4102,BPH,4,1
FHS4103,BPH,4,1
FHS4201,BPH,4,2
FHS4202,BPH,4,2
FHS4101,BBLT,4,1
FHS4102,BBLT,4,1
FHS4103,BBLT,4,1
FHS4201,BBLT,4,2
FHS4202,BBLT,4,2
FASS4101,SWSA,4,1
FASS4102,SWSA,4,1
FASS4103,SWSA,4,1
FASS4201,SWSA,4,2
FASS4202,SWSA,4,2
FASS4101,BADS,4,1
FASS4102,BADS,4,1
FASS4103,BADS,4,1
FASS4201,BADS,4,2
FASS4202,BADS,4,2
FASS4101,BAEDS,4,1
FASS4102,BAEDS,4,1
FASS4103,BAEDS,4,1
FASS4201,BAEDS,4,2
FASS4202,BAEDS,4,2
FASS4101,BAJC,4,1
FASS4102,BAJC,4,1
FASS4103,BAJC,4,1
FASS4201,BAJC,4,2
FASS4202,BAJC,4,2
FASS4101,BA,4,1
FASS4102,BA,4,1
FASS4103,BA,4,1
FASS4201,BA,4,2
FASS4202,BA,4,2
FSC4101,BSC-CS,4,1
FSC4102,BSC-CS,4,1
FSC4103,BSC-CS,4,1
FSC4201,BSC-CS,4,2
FSC4202,BSC-CS,4,2
FSC4203,BSC-CS,4,2
FSC4101,BSC-IT,4,1
FSC4102,BSC-IT,4,1
FSC4103,BSC-IT,4,1
FSC4201,BSC-IT,4,2
FSC4202,BSC-IT,4,2
FSC4203,BSC-IT,4,2
FSC4101,BSC-MATH,4,1
FSC4102,BSC-MATH,4,1
FSC4103,BSC-MATH,4,1
FSC4201,BSC-MATH,4,2
FSC4202,BSC-MATH,4,2
FSC4203,BSC-MATH,4,2
FSC4101,BSC-BIOCHEM,4,1
FSC4102,BSC-BIOCHEM,4,1
FSC4103,BSC-BIOCHEM,4,1
FSC4201,BSC-BIOCHEM,4,2
FSC4202,BSC-BIOCHEM,4,2
FSC4203,BSC-BIOCHEM,4,2
FAGR4101,BSC-AGR,4,1
FAGR4102,BSC-AGR,4,1
FAGR4103,BSC-AGR,4,1
FAGR4201,BSC-AGR,4,2
FAGR4202,BSC-AGR,4,2
FAGR4203,BSC-AGR,4,2
FAGR4101,BABM,4,1
FAGR4102,BABM,4,1
FAGR4103,BABM,4,1
FAGR4201,BABM,4,2
FAGR4202,BABM,4,2
FAGR4203,BABM,4,2
FAGR4101,BSC-FST,4,1
FAGR4102,BSC-FST,4,1
FAGR4103,BSC-FST,4,1
FAGR4201,BSC-FST,4,2
FAGR4202,BSC-FST,4,2
FAGR4203,BSC-FST,4,2
FED3201,PGDE,3,2
FED4103,PGDE,3,2
FSC2201,BSC-BIOCHEM,2,2
FSC1203,BSC-BIOCHEM,2,2
